Localidad,Provincia,CCAA,Clave ACT,Clave GRU,NIF,Entidad financiada 
Albacete,Albacete,CLM,AS,ID,R0200046A,Cáritas
Caudete,Albacete,CLM,AS,ID,R0200046A,Cáritas
Hellín,Albacete,CLM,AS,ID,R0200046A,Cáritas
La Roda,Albacete,CLM,AS,ID,R0200046A,Cáritas
Albacete,Albacete,CLM,FUN,ID,R0200050C,Parroquia de la Santísima Trinidad
Almansa,Albacete,CLM,FUN,ID,R0200051A,Parroquia San Isidro
El Bonillo,Albacete,CLM,RES,ID,R0200063F,Parroquia Santa Catalina
Albacete,Albacete,CLM,ED,OR,R0200097D,Operarias Divino Maestro - Colegio Ave María
Albacete,Albacete,CLM,ED,OR,R0200098B,Hijas de la Caridad - Colegio María Inmaculada
Albacete,Albacete,CLM,ED,OR,R0200099J,Escolapios - Escuelas Pías
Hellín,Albacete,CLM,IC,OR,R0200103J,Clarisas - Convento de Santa Clara
Albacete,Albacete,CLM,IC,OR,R0200106C,Carmelitas Descalzas
Caudete,Albacete,CLM,IC,OR,R0200106C,Carmelitas - Convento
Almansa,Albacete,CLM,ED,OR,R0200115D,Esclavas de María Inmaculada - Colegio
La Roda,Albacete,CLM,ED,OR,R0200119F,Hijas de María Auxiliadora - Colegio
Albacete,Albacete,CLM,CH,EC,R0200120D,Real Archicofradía N. Sra. de Cortes
Caudete,Albacete,CLM,ED,OR,R0200123H,Hermanas del Amor de Dios - Colegio
Hellín,Albacete,CLM,AS,OR,R0200127I,Hermanitas Ancianos Desamparados - Hogar
Albacete,Albacete,CLM,AS,ID,R0200134E,Cáritas - Casa Sagrado Corazón
Hellín,Albacete,CLM,ED,OR,R0200142H,Amigonianos - Colegio N. Sra. de los Dolores
Albacete,Albacete,CLM,AS,OR,R0200148E,Panonianos - Hijos de María Inmaculada
Albacete,Albacete,CLM,AS,OR,R0200152G,Hijas de la Caridad de San Vicente de Paul
Albacete,Albacete,CLM,AS,OR,R0200154C,Franciscanos de la Cruz Blanca
Hellín,Albacete,CLM,AS,OR,R0200154C,Franciscanos de la Cruz Blanca
Hellín,Albacete,CLM,CH,EC,R0200289G,Archicofradía Jesús de Medinaceli
Hellín,Albacete,CLM,CH,EC,R0200294G,Hermandad de la Misericordia
Caudete,Albacete,CLM,CH,EC,R0200296B,Cofradía Virgen de Gracia
Hellín,Albacete,CLM,CH,EC,R0200299F,Hermandad Negación de San Pedro
Albacete,Albacete,CLM,CH,EC,R0200301J,Cofradía Esperanza Macarena
Albacete,Albacete,CLM,CH,EC,R0200303F,Cofradía N. Sra. del Calvario
Caudete,Albacete,CLM,CH,EC,R0200305A,Cofradía Cristo de la Caída
Albacete,Albacete,CLM,CH,EC,R0200307G,Junta de Cofradías
Hellín,Albacete,CLM,CH,EC,R0200316H,Cofradía Cristo Crucificado
Caudete,Albacete,CLM,CH,EC,R0200326G,Junta de Cofradías
Caudete,Albacete,CLM,CH,EC,R0200326G,Junta de Hermandades
Hellín,Albacete,CLM,CH,EC,R0200338,Cofradía Inmaculada Invicta
Albacete,Albacete,CLM,CH,EC,R0200344J,A. María Santísima de los Llanos
Cenizate,Albacete,CLM,CH,EC,R0200345G,Cofradía de Santa Ana
Hellín,Albacete,CLM,CH,EC,R0200346E,Hermandad Cristo Resucitado
Hellín,Albacete,CLM,CH,EC,R0200348A,Hermandad de la Flagelación
Tarazona de la M.,Albacete,CLM,CH,EC,R0200355F,Cofradía Cristo de la Misericordia
La Roda,Albacete,CLM,CH,EC,R0200368I,Cofradía N. Sra. de los Remedios
Hellín,Albacete,CLM,CH,EC,R0200370E,Hermandad de la Santa Cruz
Alicante,Alicante,VAL,FUN,ID,R0300002C,Diócesis
Jacarilla,Alicante,VAL,IC,ID,R0300002C,Diócesis
Orihuela,Alicante,VAL,CUL,ID,R0300002C,Diócesis
Villena,Alicante,VAL,RES,ID,R0300002C,Diócesis
Orihuela,Alicante,VAL,RES,ID,R0300013J,Catedral
Alcoi,Alicante,VAL,AS,ID,R0300019G,Cáritas Parroquia Arzipreste Santa María
Benidorm,Alicante,VAL,AS,ID,R0300021C,Parroquia N. Sra. del Carmen
Castalla,Alicante,VAL,ED,OR,R0300025D,Obreras de la Cruz - Colegio María Asunta
Alicante,Alicante,VAL,DEP,OR,R0300028H,Jesuitas - Colegio Inmaculada
Alicante,Alicante,VAL,AS,OR,R0300035C,Jesuitas - Comunidad de Nazaret
San Vicente del R.,Alicante,VAL,AS,OR,R0300035C,Jesuitas - Comunidad Nazaret
Alicante,Alicante,VAL,ED,ID,R0300039E,Colegio Diocesano Oratorio San Miguel
Alicante,Alicante,VAL,ED,ID,R0300047H,Parroquia N. Sra. del Rosario
Alcoi,Alicante,VAL,CUL,ID,R0300048F,Parroquia Sagrado Corazón
Alcoi,Alicante,VAL,ED,ID,R0300049D,Parroquia San Roque
Alicante,Alicante,VAL,ED,OR,R0300058E,Hijas de la Caridad - Colegio San José
Alcoi,Alicante,VAL,ED,OR,R0300061I,Hijas de la Caridad - Colegio San Vicente de Paul
Villena,Alicante,VAL,ED,OR,R0300066H,Hijas de la Caridad - Colegio Virgen de los Dolores
Alicante,Alicante,VAL,ED,ID,R0300069B,Obras Social Diocesana San José Obrero
Finestrat,Alicante,VAL,IC,ID,R0300082E,Obispado
Ibi,Alicante,VAL,AS,ID,R0300088B,Cáritas
Orihuela,Alicante,VAL,ED,ID,R0300099I,Colegio Diocesano Santo Domingo
Alicante,Alicante,VAL,ED,ID,R0300102A,Parroquia N. Sra. del Carmen
Alicante,Alicante,VAL,ED,ID,R0300112J,Parroquia San Juan Bautista
Alicante,Alicante,VAL,ED,ID,R0300113H,Parroquia N. Sra. de los Ángeles
Agost,Alicante,VAL,ED,ID,R0300117I,Parroquia San Pedro
Almoradí,Albacete,CLM,RES,ID,R0300122I,Parroquia San Andrés
Altea,Alicante,VAL,AS,ID,R0300123G,Parroquia N. Sra. del Consuelo
Benidorm,Alicante,VAL,AS,ID,R0300130B,Parroquia Santiago Apóstol
Benidorm,Alicante,VAL,AS,ID,R0300131J,Parroquia N. Sra. del Mar
Calp,Alicante,VAL,IC,ID,R0300135A,Parroquia N. Sra. de las Nieves
Castalla,Alicante,VAL,IC,ID,R0300140A,Parroquia de la Asunción
Crevillet,Alicante,VAL,RES,ID,R0300144C,Parroquia de N. Sra. de Belén
Elche,Alicante,VAL,RES,ID,R0300157E,Basílica Santa María
Ibi,Alicante,VAL,IC,ID,R0300166F,Parroquia Transfiguración del Señor
San Vicente R.,Alicante,VAL,IC,ID,R0300187B,Parroquia San Vicente Ferrer
Villajoyosa,Alicante,VAL,AS,ID,R0300197A,Parroquia de la Asunción
Villena,Alicante,VAL,IC,ID,R0300200C,Parroquia Santiago Apóstol
Villena,Alicante,VAL,CUL,ID,R0300204E,Parroquia Santa María Auxiliadora
Alicante,Alicante,VAL,Z,ID,R0300205B,Cáritas
Aspe,Alicante,VAL,AS,ID,R0300205B,Cáritas
Elche,Alicante,VAL,AS,ID,R0300205B,Cáritas
Novelda,Alicante,VAL,AS,ID,R0300205B,Cáritas
Orihuela,Alicante,VAL,AS,ID,R0300205B,Cáritas
San Vicente R.,Alicante,VAL,AS,EC,R0300205B,Cáritas
Villena,Alicante,VAL,AS,ID,R0300205B,Cáritas
Carolinas,Alicante,VAL,ED,ID,R0300217G,Parroquia San José
Busot,Alicante,VAL,IC,ID,R0300226H,Parroquia San Lorenzo
Orihuela,Alicante,VAL,IC,ID,R0300228D,Parroquia Santas Justa y Rufina
Novelda,Alicante,VAL,ED,ID,R0300251F,Parroquia San Pedro
Alicante,Alicante,VAL,ED,OR,R0300264I,Salesianos - Escuela Profesional Juan XXIII
Alcoi,Alicante,VAL,CUL,ID,R0300265F,Salesianos - Colegio San Vicente Ferrer
Alicante,Alicante,VAL,ED,OR,R0300265F,Salesianos - Colegio San Vicente Ferrer
Alcoy,Alicante,VAL,ED,OR,R0300266D,La Salle - Colegio
Novelda,Alicante,VAL,ED,OR,R0300267B,Corazonistas - Seminario y Colegio
San Vicene de R.,Alicante,VAL,ED,OR,R0300268J,Salesianos - Colegio Santa Faz
Pego,Alicante,VAL,ED,OR,R0300269H,Franciscanos - Colegio San Antonio
Alicante,Alicante,VAL,ED,OR,R0300272B,Franciscanos - Colegio San Antonio
Ibi,Alicante,VAL,ED,OR,R0300273J,Salesianos - Colegio N. Sra. de los Desamparados
Alicante,Alicante,VAL,ED,OR,R0300275E,Salesianos - Colegio San Juan Bosco
Cocentaina,Alicante,VAL,ED,OR,R0300276C,Franciscanos - Colegio San Francisco de Asís
Alicante,Alicante,VAL,ED,OR,R0300277A,Franciscanos - Colegio Purísima y San Francisco
Callosa de Segura,Alicante,VAL,ED,OR,R0300278I,Carmelitas - Colegio La Purísima
Torrevieja,Alicante,VAL,ED,OR,R0300279G,Carmelitas - Colegio La Purísima
Novelda,Alicante,VAL,ED,OR,R0300280E,Carmelitas - Colegio Santa María Magdalena
Elche,Alicante,VAL,ED,OR,R0300282A,Salesianos - Colegio San Rafael
Elche,Alicante,VAL,ED,OR,R0300283I,Salesianos - Colegio San José Artesano
Sant Joan,Alicante,VAL,AS,OR,R0300285D,Hermanas de la Virgen - Hogar
San Juan,Alicante,VAL,ED,OR,R0300286B,Hermanas de la Virgen - Colegio N. Sra. del Carmen
Alicante,Alicante,VAL,ED,OR,R0300287J,Hermanas de la Virgen - Colegio Santa María del Carmen
Elche,Alicante,VAL,ED,OR,R0300288H,Carmelitas Misioneras - Colegio N. Sra. del Carmen
Orihuela,Alicante,VAL,ED,OR,R0300291B,Carmelitas - Colegio N. Sra. del Carmen
Alicante,Alicante,VAL,ED,OR,R0300294F,Siervas de San José - Colegio Sagrada Familia
Elda,Alicante,VAL,ED,OR,R0300296A,Hermanas de Monte Carmelo - Colegio Santa María del Carmen
Crevillente,Alicante,VAL,ED,OR,R0300297I,Carmelitas - Colegio El Carmen
Alcoi,Alicante,VAL,AS,OR,R0300298G,Hermanitas Ancianos Desamparados - Hogar
Elche,Alicante,VAL,AS,OR,R0300299E,Hermanitas Ancianos Desamparados - Hogar
Villena,Alicante,VAL,AS,OR,R0300300A,Hermanitas Ancianos Desamparados - Hogar
Novelda,Alicante,VAL,AS,OR,R0300302G,Hermanitas Ancianos Desamparados - Hogar
Monovar,Alicante,VAL,AS,OR,R0300303E,Hermanitas Ancianos Desamparados - Hogar
Villena,Alicante,VAL,ED,OR,R0300307F,Salesianos - Colegio María Auxiliadora
Alicante,Alicante,VAL,DEP,OR,R0300309B,Agustinos - Colegio San Agustín
Alicante,Alicante,VAL,ED,OR,R0300312F,Religiosas Jesús María - Colegio
Orihuela,Alicante,VAL,ED,OR,R0300313D,Religiosas Jesús María - Colegio
Alicante,Alicante,VAL,ED,OR,R0300318C,Religiosas Jesús María - Colegio
Villafranqueza,Alicante,VAL,ED,OR,R0300319A,Religiosas Jesús María - Colegio
Sax,Alicante,VAL,ED,OR,R0300322E,Hermanas Virgen Monte Carmelo - Colegio
Alicante,Alicante,VAL,ED,OR,R0300324A,Salesianos - Colegio María Auxiliadora
Alicante,Alicante,VAL,ED,OR,R0300326F,Maristas - Colegio Sagrado Corazón
Denia,Alicante,VAL,ED,ID,R0300327D,Maristas - Colegio San Juan Bautista
Alicante,Alicante,VAL,ED,OR,R0300333B,Hijas de la Divina Pastora - Instituto Calasancio
Monovar,Alicante,VAL,ED,OR,R0300334J,Hijas de la Divina Pastora - Instituto Calasancio
Jávea,Alicante,VAL,ED,ID,R0300348J,Obreras de la Cruz - Colegio Ma?ia Inmaculada
Teulada,Alicante,VAL,RES,ID,R0300350F,Parroquia Santa Catalina
Benissa,Alicante,VAL,AS,ID,R0300351D,Parroquia de la Purísima
Jávea,Alicante,VAL,IC,ID,R0300352B,Parroquia N. Sra. de Loreto
Alcoi,Alicante,VAL,ED,ID,R0300353J,Parroquia El Salvador
Ondara,Alicante,VAL,IC,ID,R0300358I,Parroquia de Santa Ana
Benidorm,Alicante,VAL,AS,ID,R0300382I,Parroquia N. Sra. de la Almudena
Alcoi,Alicante,VAL,ED,ID,R0300396I,Parroquia Santa Rosa
Alicante,Alicante,VAL,AS,OR,R0300400I,Hijas de la Caridad - Obra Social Santa Luisa Marillac
Jávea,Alicante,VAL,IC,ID,R0300415G,Parroquia San Bartolomé Apóstol
Alicante,Alicante,VAL,FUN,OR,R0300482G,Instituto Secular Ignis Ardens
Benidorm,Alicante,VAL,AS,ID,R0300525C,Parroquia San Francisco de Asís
Benidorm,Alicante,VAL,AS,ID,R0300603H,Parroquia San Juan Bautista
Pilar de Horadada,Alicante,VAL,CH,EC,R0300629C,Junta Mayor de Cofradías
Catral,Alicante,VAL,CH,EC,R0300633E,Junta de Cofradías
Crevillente,Alicante,VAL,CH,EC,R0300695D,Federación de Cofradías
Alicante,Alicante,VAL,CH,EC,R0300705A,Hermandad Cofradía Penitencial
Rojales,Alicante,VAL,CH,EC,R0300707G,Junta Mayor de Cofradías
Elche,Alicante,VAL,CH,EC,R0300735H,Mayordomía del Corpus Christi
Elche,Alicante,VAL,CH,EC,R0300771C,Cofradía de los Dolores
Elche,Alicante,VAL,CH,EC,R0300771C,Ilustre y Penitencial Cofradía
Alicante,Alicante,VAL,CH,EC,R0300772A,Mayordomía Corpus Christi
San Vicente R.,Alicante,VAL,CH,EC,R0300798F,Junta Mayor de Cofradías
Villena,Alicante,VAL,CH,EC,R0300839H,Junta Mayor de Cofradías
Villena,Alicante,VAL,CH,EC,R0300842B,A. N. Sra. de las Virtudes
Alicante,Alicante,VAL,CH,EC,R0300851C,Cofradía de la Flagelación
Alicante,Alicante,VAL,CH,EC,R0300862J,Cofradía de N. Padre Jesús
Calp,Alicante,VAL,CH,EC,R0300883F,Cofradía Cristo de las Tres Caídas
Calp,Alicante,VAL,CH,EC,R0300884D,Cofradía Jesús Nazareno
Calp,Alicante,VAL,CH,EC,R0300897F,Hermandad del Silencio
Calp,Alicante,VAL,CH,EC,R0300902D,Hermandad N. Sra. de la Salud
Calp,Alicante,VAL,CH,EC,R0300903B,Junta de Cofradías
Calp,Alicante,VAL,CH,EC,R0300911E,Hermandad Cristo de los Gitanos
Altea,Alicante,VAL,CH,EC,R0300915F,Cofradía Cristo del Sagrario
Albatera,Alicante,VAL,CH,EC,R0300920F,Cofradía del Santo Sepulcro
Banyeres,Alicante,VAL,ED,ID,R0300921D,Colegio Diocesano Fundación Ribera
Cocentaina,Alicante,VAL,CH,EC,R0300932A,Cofrtadía Virgen del Carmen
Alicante,Alicante,VAL,CH,EC,R0300936B,Cofradía María Santísima de la Victoria
Alicante,Alicante,VAL,AS,ID,R0300940D,Cáritas
Guardamar,Alicante,VAL,CH,EC,R0301021B,Junta de Cofradías
Almería,Almería,AND,IC,ID,R0400001D,Diócesis
Roquetas,Almería,AND,IC,ID,R0400001D,Parroquia San Joaquín y Santa Ana
Roquetas,Almería,AND,IC,ID,R0400001D,Parroquia Virgen del Rosario
Vera,Almería,AND,IC,ID,R0400001D,Diócesis
Almería,Almería,AND,IC,ID,R0400002B,Catedral
Almería,Almería,AND,AS,ID,R0400012A,Cáritas
Almería,Almería,AND,AS,OR,R0400016B,Hijas de la Caridad
Almería,Almería,AND,AS,OR,R0400019F,Hijas de la Caridad - Centro La Milagrosa
Almería,Almería,AND,AS,OR,R0400025C,Hermanitas de los Pobres
Almería,Almería,AND,AS,OR,R0400034E,Adoratrices Esclavas del Santísimo Sacramento
Almería,Almería,AND,ED,OR,R0400035B,Siervas de los Pobres - Noviciado
Almería,Almería,AND,ED,OR,R0400036J,Compañía de María
Almería,Almería,AND,AS,OR,R0400041J,Oblatas del Santísimo Redentor
Almería,Almería,AND,ED,OR,R0400043F,La Salle - Colegio
Almería,Almería,AND,ED,OR,R0400135J,Hermanos del Sagrado Corazón - Guardería Stella Maris
Almería,Almería,AND,RES,ID,R0400183J,Parroquia San Pedro
Roquetas,Almería,AND,IC,ID,R0400256D,Parroquia Virgen del Carmen
Roquetas,Almería,AND,CH,EC,R0400430E,Hermandad Cristo del Mar
Almería,Almería,AND,CH,EC,R0400445C,Hermandad Jesús de la Oración
Almería,Almería,AND,CH,EC,R0400450C,Cofradía Jesús en su Prendimiento
Níjar,Almería,AND,IC,OR,R0400456J,Mercedarias de la Caridad
Almería,Almería,AND,AS,OR,R0400467G,Franciscanos de la Cruz Blanca - Casa Nazaret
Fontiveros,Ávila,CYL,FUN,OR,R0500002A,Carmelitas - Convento Madre de Dios
Ávila,Ávila,CYL,IC,ID,R0500003I,Diócesis
Ávila,Ávila,CYL,ED,OR,R0500007J,Benedictinas - Abadía de la Santísima Trinidad
Ávila,Ávila,CYL,RES,ID,R0500023G,Parroquia San Nicolás de Bari
Fontiveros,Ávila,CYL,RES,ID,R0500035A,Parroquia San Cipriano
Ávila,Ávila,CYL,RES,ID,R0500039C,Parroquia de la Asunción
Ávila,Ávila,CYL,RES,ID,R0500041I,Parroquia Santa María la Mayor
Ávila,Ávila,CYL,RES,ID,R0500079I,Parroquia de la Asunción
Ávila,Ávila,CYL,CUL,ID,R0500103G,Parroquia La Asunción
Ávila,Ávila,CYL,RES,ID,R0500221G,Parroquia de la Asunción
Ávila,Ávila,CYL,RES,ID,R0500241E,Parroquia de San Sebastián
Ávila,Ávila,CYL,RES,ID,R0500272J,Parroquia San Juan Bautista
Ávila,Ávila,CYL,AS,ID,R0500295A,Cáritas
Ávila,Ávila,CYL,IC,OR,R0500299C,Salesianos - Seminario Menor San Juan Bosco
Ávila,Ávila,CYL,IC,OR,R0500300I,Teresianas - Convento
Ávila,Ávila,CYL,ED,OR,R0500304A,Hijas de la Caridad - Colegio La Milagrosa
Ávila,Ávila,CYL,ED,OR,R0500305H,Siervas del Evangelio - Casa Nazaret
Ávila,Ávila,CYL,FUN,OR,R0500306F,Esclavas Virgen Dolorosa - Villa Santa Teresa
Gotarrendura,Ávila,CYL,AS,OR,R0500306F,Esclavas de la Virgen - Villa Santa Teresa
Ávila,Ávila,CYL,ED,OR,R0500307D,Hermanas del Amor de Dios - Colegio
Ávila,Ávila,CYL,FUN,OR,R0500310H,Carmelitas - Convento Santa Teresa
Ávila,Ávila,CyL,UC,ID,R0500336C,Universidad Católica Santa Teresa de Jesús - Obispado
Ávila,Ávila,CYL,FUN,ID,R0500343I,Parroquia San Juan Bautista
Ávila,Ávila,CYL,FUN,OR,R0500363G,Carmelitas - Centro Internacional Teresiano-Sanjuanista
Ávila,Ávila,CYL,ED,ID,R0500433H,Fundación Diocesana de Enseñanza Obispo Santos Moro
Ávila,Ávila,CYL,CH,EC,R0500441A,Junta de Cofradías
Martiherrero,Ávila,CYL,ED,ID,R0568081D,Centro de Educación Especial Santa Teresa
Badajoz,Badajoz,EXT,IC,ID,R0600001B,Diócesis
Mérida,Badajoz,EXT,IC,ID,R0600001B,Diócesis
Badajoz,Badajoz,EXT,ED,ID,R0600016J,Seminario Diocesano
Badajoz,Badajoz,EXT,AS,OR,R0600025A,Instituto Secular Hogar Nazaret
Badajoz,Badajoz,EXT,FUN,OR,R0600038D,Franciscanas Clarisas - Convento N. Sra. de los Pobres
Badajoz,Badajoz,EXT,AS,ID,R0600048C,Cáritas
Llerena,Badajoz,EXT,AS,ID,R0600048C,Cáritas
Mérida,Badajoz,EXT,AS,ID,R0600048C,Cáritas
Badajoz,Badajoz,EXT,ED,ID,R0600053C,Colegio Parroquial Sagrado Corazón
Almendralejo,Badajoz,EXT,IC,OR,R0600054A,Claretianos - Misioneros
Badajoz,Badajoz,EXT,CH,EC,R0600082B,Hermandad de Jesús Obrero
Badajoz,Badajoz,EXT,IC,ID,R0600098H,Parroquia de la Concepción
Don Benito,Badajoz,EXT,ED,OR,R0600279D,Claretianos - Colegio
Mérida,Badajoz,EXT,FUN,OR,R0600285A,Hermanitas Ancianos Desamparados - Asilo
Badajoz,Badajoz,EXT,AS,OR,R0600286I,Hermanitas Ancianos Desamparados - Asilo
Don Benito,Badajoz,EXT,ED,OR,R0600288E,Hijas de María - Colegio Sagrado Corazón
Talarrubias,Badajoz,EXT,ED,OR,R0600289C,Hijas de Cristo Rey - Colegio
Valverde,Badajoz,EXT,ED,OR,R0600290A,Apostólicas Cristo Crucificado - Colegio
Mérida,Badajoz,EXT,ED,OR,R0600291I,Salesianos - Colegio María Auxiliadora
Puebla de la C.,Badajoz,EXT,ED,OR,R0600292G,Salesianos - Colegio María Inmaculada
Badajoz,Badajoz,EXT,ED,OR,R0600293E,Salesianos - Colegio Ramón Izquierdo
Mérida,Badajoz,EXT,ED,OR,R0600295J,Siervas de San José - Colegio
Zafra,Badajoz,EXT,ED,OR,R0600297F,Claretianos - Colegio
Badajoz,Badajoz,EXT,ED,OR,R0600299B,Hermanas del Santo Ángel de la Guarda - Colegio
Almendralejo,Badajoz,EXT,ED,OR,R0600300H,Hermanas del Santo Ángel de la Guarda
Badajoz,Badajoz,EXT,ED,OR,R0600302D,Maristas - Colegio N. Sra. del Carmen
Horna,Badajoz,EXT,ED,OR,R0600306E,Apostólicas Cristo Crucificado - Colegio
Puebla de la C.,Badajoz,EXT,ED,OR,R0600311E,Apostólicas Cristo Crucificado - Colegio
Zafra,Badajoz,EXT,AS,OR,R0600312C,Esclavas de la Virgen - Casa Hospital de Santiago
Cabeza de Buey,Badajoz,EXT,ED,OR,R0600315F,Carmelitas - Colegio Santa Teresa
Azuaga,Badajoz,EXT,AS,OR,R0600330E,Hermanitas Ancianos Desamparados - Asilo
Badajoz,Badajoz,EXT,AS,OR,R0600349E,Caridad del Buen Pastor
Badajoz,Badajoz,EXT,AS,OR,R0600353G,Hijas de la Caridad de San Vicente de Paul
Almendralejo,Badajoz,EXT,IC,OR,R0600434E,Hermandad de San Marcos
Almendralejo,Badajoz,EXT,CH,EC,R0600454C,Cofradía Jesús del Gran Poder
Badajoz,Badajoz,EXT,AS,OR,R0600581C,Adoratrices Esclavas del Santísimo Sacramento
Guareña,Badajoz,EXT,CH,EC,R0600608D,Cofradía Entrada en Jerusalén
Guareña,Badajoz,EXT,CH,EC,R0600608D,Cofradía del Santísimo Sacramento
Mérida,Badajoz,EXT,CH,EC,R0600615I,A. Santa Eulalia Virgen y Mártir
Don Benito,Badajoz,EXT,CH,EC,R0600630H,Junta de Cofradías
Palma,Baleares,IB,CUL,ID,R0700002I,Diócesis
Felanitx,Baleares,IB,ED,OR,R0700009D,Hermanas de la Caridad
Palma,Baleares,IB,ED,OR,R0700009D,Hermanas de la Caridad - Colegio
Palma,Baleares,IB,ED,OR,R0700009D,Hermanas de la Caridad
Mahón,Baleares,IB,RES,ID,R0700018E,Obispado
Mahón,Baleares,IB,RES,ID,R0700018E,Diócesis
Palma,Baleares,IB,ED,OR,R0700021I,Misioneros Sagrados Corazones
Palma,Baleares,IB,ED,OR,R0700022G,Franciscanas Hijas de la Misericordia - Colegio
Ibiza,Baleares,IB,IC,ID,R0700026H,Diócesis
Marratxi,Baleares,IB,ED,OR,R0700044A,La Salle - Colegio
Palma,Baleares,IB,ED,OR,R0700046F,La Salle - Colegio
Inca,Baleares,IB,ED,OR,R0700047D,La Salle - Colegio
Mahón,Baleares,IB,ED,OR,R0700050H,La Salle - Colegio
Alayor,Baleares,IB,ED,OR,R0700062C,La Salle - Colegio
Manacor,Baleares,IB,ED,OR,R0700064I,La Salle - Colegio
Palma,Baleares,IB,AS,ID,R0700067B,Cáritas
Mahón,Baleares,IB,AS,ID,R0700070F,Cáritas
Ibiza,Baleares,IB,AS,ID,R0700071D,Cáritas
Sant Antoni,Baleares,IB,AS,ID,R0700071D,Cáritas
Sant Josep de T,Baleares,IB,AS,ID,R0700071D,Cáritas
Santa Eularia,Baleares,IB,AS,ID,R0700071D,Cáritas
Menorca,Baleares,IB,CUL,ID,R0700079G,Catedral
Palma,Baleares,IB,ED,OR,R0700080E,Madres Desamparados - Hogar San José de la Montaña
Llucmajor,Baleares,IB,ED,OR,R0700082A,Hermanas de la Caridad - Colegio
Palma,Baleares,IB,ED,OR,R0700085D,Hermanas de la Caridad - Colegio Arcángel San Rafael
Palma,Baleares,IB,ED,OR,R0700086B,Hermanas de la Caridad - Colegio San Vicente Paul
Palma,Baleares,IB,ED,OR,R0700091B,Hermanas de la Caridad - Col.legio Sant Vicéns de Paul
Arta,Baleares,IB,ED,OR,R0700092J,Hermanas de la Caridad - Colegio San Salvador
Santa Maria del Camino,Baleares,IB,ED,OR,R0700093H,Hermanas de la Caridad - Colegio Ramón Llull
Palma,Baleares,IB,ED,OR,R0700094F,Siervas de Jesús - Escuela Infantil
Ciutadella,Baleares,IB,ED,OR,R0700100A,Salesianos - Colegio
Ciutadela,Baleares,IB,ED,OR,R0700102G,Hermanas de la Consolación - Colegio
Palma,Baleares,IB,ED,OR,R0700103E,Pureza de María - Colegio
Palma,Baleares,IB,ED,OR,R0700104C,Pureza de María - Colegio Madre Alberta
Inca,Baleares,IB,ED,OR,R0700105J,Pureza de María - Colegio
Palma,Baleares,IB,AS,OR,R0700111H,Trinitarias - Hogar El Temple
Palma,Baleares,IB,ED,OR,R0700113D,Teatinas - Colegio N. Sra. Providencia
Palma,Baleares,IB,ED,OR,R0700115I,Teatinas - Colegio N. Sra. Providencia
Marratxi,Baleares,IB,ED,OR,R0700119A,Dominicas - Colegio Santa Teresa
Palma,Baleares,IB,ED,OR,R0700120I,Jesuitas - Colegio Montesion
Manacor,Baleares,IB,ED,OR,R0700124A,Pureza de María - Colegio
Palma,Baleares,IB,ED,OR,R0700125H,Agustinos - Colegio San Agustín
Palma,Baleares,IB,ED,OR,R0700132D,Franciscanas - Colegio San Francisco de Asís
Muro,Baleares,IB,ED,OR,R0700133B,Franciscanas - Colegio San Francisco de Asís
Manacor,Baleares,IB,ED,OR,R0700134J,Franciscanas - Colegio San Francisco de Asís
Sa Pobla,Baleares,IB,ED,OR,R0700135G,Franciscanas - Colegio San Francisco de Asís
LlucMajor,Baleares,IB,ED,OR,R0700137C,Franciscanas - Centro Mater Misericordiae
Palma,Baleares,IB,AS,OR,R0700137C,Franciscanas - Centro Mater Misericordiae
Soller,Baleares,IB,ED,OR,R0700140G,Sagrados Corazones - Colegio
Palma,Baleares,IB,EV,EV,R0700141E,Comunidad Evangélica de Habla Alemana
Palma,Baleares,IB,ED,OR,R0700143A,Misioneras Sagrados Corazones - Colegio Jesús María
Llucmajor,Baleares,IB,AS,OR,R0700145F,Misioneras Sagrados Corazones - Colegio
Palma,Baleares,IB,FUN,OR,R0700149H,San Juan de Dios - Hospital
Palma,Baleares,IB,FUN,OR,R0700149H,San Juan de Dios - Hospital
Campos,Baleares,IB,IC,ID,R0700154H,Parroquia
Campos,Baleares,IB,IC,ID,R0700154H,Cáritas
Campos,Baleares,IB,IC,ID,R0700154H,Parroquia San Julián
Escorca,Baleares,IB,IC,ID,R0700154H,Parroquia N. Sra. de Lluc
Llucmajor,Baleares,IB,ED,OR,R0700168H,Franciscanos - Colegio San Buenaventura
Inca,Baleares,IB,ED,OR,R0700169F,Franciscanos - Colegio Beato Ramón Llull
Artá,Baleares,IB,AS,OR,R0700170D,Franciscanas - Colegio San Buenaventura
Palma,Baleares,IB,ED,OR,R0700171B,Franciscanos - Colegio San Francisco
Palma,Baleares,IB,ED,OR,R0700172J,Franciscanos - Colegio Porciúncula
Pina,Baleares,IB,IC,ID,R0700178G,Parroquia de San Cosme y San Damián
Muro,Baleares,IB,IC,ID,R0700225F,Parroquia Sant Joan Baptiste
Palma,Baleares,IB,ED,OR,R0700344E,Agustinas - Colegio Virgen de las Nieves
Sant Josep,Baleares,IB,ED,OR,R0700344E,Agustinas - Colegio Virgen de las Nieves
Ibiza,Baleares,IB,ED,OR,R0700345B,Agustinos - Colegio N. Sra. de la Consolación
Palma,Baleares,IB,ED,OR,R0700350B,Agustinos - Colegio N. Sra. de la Consolación
